"Id";"UserId";"ExternalId";"InvoiceUri";"LevelName";"SessionId";"IsPaymentSuccess";"CompletionDate";"CreateDate"
"76da9be1-0dab-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"6fDpDPvT3H4mMpu5";"NONE";"guest";"NONE";"1";"2024-05-09 02:25:55";"2024-05-09 02:25:55"
"79184925-1dff-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"0Clr24pZcmJqc9fe";"NONE";"guest";"NONE";"1";"2024-05-29 21:07:35";"2024-05-29 21:07:35"
"7cf3fde3-e23d-11ee-b616-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"UOfwst2qWf89qU5K";"https://localhost:44345/subscription-checkout?sessionid=sub_1OuKRsDhgP60CL9xII02QOhf&id=UOfwst2qWf89qU5K";"silver";"sub_1OuKRsDhgP60CL9xII02QOhf";"0";"";"2024-03-14 20:00:21"
"7de3d5ff-0c0a-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"7psTlDV96bRz4fMB";"NONE";"guest";"NONE";"1";"2024-05-07 00:41:07";"2024-05-07 00:41:07"
"7def6222-e23c-11ee-b616-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"nEm5SEN3BaXc2Ldu";"https://localhost:44345/subscription-checkout?sessionid=sub_1OuKKyDhgP60CL9xLgWR4VIZ&id=nEm5SEN3BaXc2Ldu";"silver";"sub_1OuKKyDhgP60CL9xLgWR4VIZ";"0";"";"2024-03-14 19:53:13"
"7e8cd76e-0bac-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"SZI82l59VD7bQW46";"NONE";"guest";"NONE";"1";"2024-05-06 13:28:15";"2024-05-06 13:28:15"
"8027ce93-2291-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"xHChEHafqHm736BY";"NONE";"guest";"NONE";"1";"2024-06-04 16:42:58";"2024-06-04 16:42:58"
"814a7020-0cbc-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"2CGweUQE8RLYhEZG";"NONE";"guest";"NONE";"1";"2024-05-07 21:55:23";"2024-05-07 21:55:23"
"81947863-1d66-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"vBEOOiyvjLCgIYel";"https://localhost:44345/subscription-checkout?sessionid=sub_1PLccxDhgP60CL9xAEAiwJIM&id=vBEOOiyvjLCgIYel";"gold";"sub_1PLccxDhgP60CL9xAEAiwJIM";"0";"";"2024-05-29 02:52:36"
"81c7cc19-3c02-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"ltVuAo21obai39qk";"NONE";"guest";"NONE";"1";"2024-07-07 01:44:53";"2024-07-07 01:44:53"
